epoch,train_loss,validation_loss,validation_mae,learning_rate
1,-1.8175559232721243,1.0693966333247438,6.273627553005219,0.0001
2,-2.092693004709528,1.2516496739810026,6.044040024280548,0.0001
3,-2.162111468270154,1.2303806830056105,6.006497001152039,0.0001
4,-2.240559022044739,1.1388713368509389,6.016374142456055,0.0001
5,-2.326919505244021,1.2124252145803427,5.926966658706665,0.0001
1,-1.774740171325786,0.4288962276864655,5.889694436664581,0.0001
2,-2.067321648021512,1.1930230622050129,5.848297508869171,0.0001
3,-2.134942109980013,1.2782140608075299,6.150679625816346,0.0001
4,-2.1315655232695363,1.1923681942722466,6.065497909202576,0.0001
5,-2.1745079695663945,1.2778463522090187,5.919086329917907,5e-05
