minute,requests,active_functions,active_pods,avg_cpu,avg_memory
43245,795067,525,2176,0.2143182048934163,248.5185609533012
43246,605865,514,2154,0.25742562400366775,274.90501437088346
43247,745641,496,2115,0.21911215083798238,269.0464883471008
43248,591624,496,2079,0.25374570000371993,297.3885945346979
43249,720146,503,2103,0.22568703401945509,267.02851300785704
43250,552447,493,2081,0.2659888236699256,304.08762701428196
43251,746685,503,2108,0.22172614442368344,274.2661646127919
43252,559516,491,2061,0.26597774216827136,306.9993187481052
43253,770717,492,2079,0.21645988573234798,268.0600056071989
43254,618680,519,2091,0.24656331063391562,286.3833293154789
43255,591916,507,2108,0.2571300782137932,293.69080776376745
43256,582747,494,2061,0.25704578510223963,308.0567722596359
43257,656847,494,2116,0.23593304761531916,286.2390012075047
43258,599926,480,2069,0.2518203281654836,292.29412306279505
43259,582374,483,2054,0.26227972960671836,301.3232812641181
43260,602977,585,2294,0.2595093221117456,273.7818231629484
43261,607334,537,2336,0.2581592196962402,287.62210276470284
43262,546646,537,2192,0.2770673872049461,310.06076450597646
43263,557469,566,2261,0.27410271407017195,304.7437713734349
43264,546756,563,2227,0.2797226456974878,315.7468435518279
43265,574775,546,2198,0.27175263756945295,307.1511600270412
43266,601033,554,2201,0.2676760774732459,299.98786994900104
43267,578393,541,2206,0.27254410927346545,301.38900938753375
43268,644508,510,2172,0.24934909033557565,287.7808274289553
43269,688677,525,2181,0.23802271080347848,282.49497358515924
43270,588428,533,2214,0.2722972475749397,299.6969453231706
43271,645768,500,2164,0.25621045337646986,290.19675119046747
43272,587186,512,2205,0.27239408869760035,306.3302759016818
43273,690098,505,2178,0.24771862457359842,287.8401158279466
43274,615394,506,2186,0.26146831715123614,301.31865299942825
43275,714352,524,2298,0.24305820101151573,265.0021783167213
43276,647981,516,2310,0.2600962217379943,268.3809584872756
43277,661047,490,2209,0.25157610038925027,285.9326680983051
43278,693679,498,2208,0.23464119950012138,288.11415909375734
43279,702940,493,2147,0.23751340192618664,280.76467377025403
43280,579380,520,2214,0.27492695670028877,286.5734923600275
43281,691513,516,2165,0.2470156393415497,274.51426162267273
43282,669344,520,2181,0.24473233455289453,274.4132682918633
43283,737296,524,2162,0.23005764203116566,271.97465403547113
43284,675520,536,2203,0.23885072256338905,280.9069654831564
43285,712691,520,2157,0.23242862882367582,275.39395813178237
43286,665754,507,2183,0.24156056720052066,286.7828740982449
43287,762753,521,2174,0.22614948019870157,274.7763801332778
43288,680033,514,2211,0.2388422272992183,281.6524837412076
43289,756042,490,2170,0.22611786645184573,267.0455034655013
43290,741460,533,2311,0.23187974177294574,278.2317834302639
43291,830232,526,2405,0.21921532323855528,273.5242256069893
43292,610370,519,2377,0.26731686388907355,299.35877181055076
43293,681300,563,2326,0.2512964339791557,286.22944650346506
43294,604134,540,2285,0.27079659474560885,299.9116478278543
43295,747403,521,2285,0.23063280972781286,274.69260043410765
43296,700532,537,2303,0.24411395874558936,284.2921005232301
43297,689229,514,2307,0.2480070753914706,291.31894118487037
43298,711456,498,2306,0.24334217660679305,280.8023683336071
43299,808080,539,2339,0.22527615517147453,276.4798718749042
43300,723796,523,2286,0.23917564010022901,284.5879028916232
43301,770992,504,2257,0.2325452305457998,274.68063583121443
43302,700556,519,2269,0.24540472191085566,278.8527704449828
43303,781012,525,2285,0.23352637910425184,276.9147054134091
43304,616104,523,2317,0.2764269522304276,299.6743709423561
43305,772830,530,2457,0.23912213642324504,257.4057644186583
43306,655825,513,2426,0.27200198931418546,276.88069852844274
43307,719387,514,2434,0.2526613901182254,276.9874217381924
43308,620251,510,2363,0.2780185248793899,295.7323698612634
43309,681446,496,2349,0.25891923521445653,287.28506676639716
43310,637920,514,2386,0.275939394198283,294.4654092793868
43311,740814,508,2407,0.24815570688590285,283.48223837500586
43312,676091,501,2442,0.2564031691650685,291.2228312629205
43313,1104807,511,2477,0.16885735617620748,267.1293947392863
43314,1051850,514,2475,0.17137516465938127,269.9523699483622
43315,1148515,512,2428,0.1645112135531225,257.40690628287183
43316,1044942,507,2451,0.17392613489835396,271.3100673631568
43317,1258945,508,2415,0.15455684341411538,252.66706992853574
43318,1189589,493,2418,0.15789732224655134,257.7029440738719
43319,1076284,493,2367,0.1670743057445512,267.9158655773307
43320,1072310,588,2578,0.17551983164752463,256.5713299095788
43321,1062105,538,2610,0.17705638651824915,260.0870657625861
43322,1129531,555,2530,0.1655008149329166,264.74146347851234
43323,1090982,573,2494,0.16969220228011264,262.48256481352354
43324,1035228,563,2474,0.17577038793479888,267.93874791451276
43325,1126325,535,2419,0.16794261663460017,261.88447634446743
43326,1129069,563,2472,0.16340623966911486,258.23137335502423
43327,1298855,521,2440,0.15221637802138144,250.7145196988
43328,1055680,532,2461,0.1712015620528412,269.9720173478144
43329,1140986,521,2441,0.16629938983296552,260.2175471837339
43330,1057695,523,2445,0.1724035344262331,264.4709675442817
43331,1164099,511,2403,0.16463607089429114,258.3897750748888
43332,1032624,517,2396,0.17449861881474024,266.75405327967724
43333,1172185,502,2408,0.1641246042953707,256.4696901875414
43334,1033130,494,2398,0.1742206708129367,275.08319740429204
43335,1477424,529,2558,0.13803899496891173,238.04809149779078
43336,1528823,514,2563,0.1308199036480783,241.40875464886645
43337,1556233,500,2534,0.12822674181241767,245.32640575148517
43338,1441297,500,2442,0.13170185236626883,254.45640295098687
43339,1510305,485,2426,0.1278301606661959,254.84083282895145
43340,1445182,516,2444,0.12970773258658808,251.67972970989376
43341,1165868,516,2452,0.16318178145634796,251.9362058016083
43342,1040325,505,2412,0.17294370979162402,263.3998722434065
43343,1158726,504,2398,0.1662234986804019,252.21970836128742
43344,1119307,525,2447,0.16529930912337606,259.1828979215515
43345,1229003,517,2424,0.1578639491628103,246.6678132639653
43346,1143676,503,2445,0.16197573343933633,251.207240156494
43347,1170664,511,2387,0.16199364942798206,251.15576336025353
43348,1021527,495,2394,0.1806309570270282,266.6414704296334
43349,832847,497,2398,0.2175426806219451,277.7131057169355
43350,904829,539,2515,0.2145334049041074,260.98909246397375
43351,965841,536,2576,0.2045394555697741,257.411206059976
43352,1043795,538,2570,0.18142846151011668,258.7819420075884
43353,1203694,548,2527,0.15986766560600238,260.9836905683166
43354,1222492,531,2505,0.15564452224959044,258.92378677062896
43355,1394378,539,2499,0.14516242167113355,236.80929372137743
43356,1368106,550,2505,0.1418015525850715,251.83059519053256
43357,1428916,497,2412,0.1422010016102812,248.1628156674882
43358,1296729,498,2455,0.14398732404607045,256.07998264284765
43359,1526762,531,2458,0.13005731722884337,239.94208907354138
43360,1330764,530,2460,0.1421353531504902,241.32957907191297
43361,1231035,502,2426,0.1523226765453071,239.98424679804268
43362,1265502,531,2511,0.14885292585231927,240.19955975945143
43363,1291711,537,2492,0.1509363640055358,256.922768679809
43364,1148769,523,2458,0.16041383745728635,258.87526346077703
43365,1198892,533,2538,0.16224119295814138,234.05714300834492
43366,1161684,511,2578,0.1634874958688938,244.2017931494511
43367,1112360,499,2519,0.1667472533864618,249.8661401828015
