funcName,mean_requests,std_requests,cv,stability
1206,28724.28888888889,14361.315581543246,0.49997114418029964,Noisy
1014,17028.14513888889,10635.57270481111,0.6245878583993028,Noisy
790,10216.600694444445,4091.759948433875,0.40050111292485774,Noisy
1797,2244.3416666666667,965.6118095347609,0.43024278516777864,Noisy
614,2289.277777777778,709.9065197438098,0.3101006468655465,Noisy
203,1464.8395833333334,274.7146879839663,0.18753909377492106,Noisy
1265,183.4611111111111,101.90762765447995,0.5554726396089511,Noisy
1200,92.40807799442896,62.51736966326578,0.6765357641897366,Noisy
1852,19.61754385964912,1.9632439553725156,0.10007593047418475,Stable
384,7.249825052484255,3.7964501752238715,0.5236609363315553,Noisy
1,5.503561253561253,2.4420558206791743,0.4437228383892275,Noisy
1657,1.0,0.0,0.0,Stable
1949,1.050034746351633,0.3034313479792371,0.2889726735553423,Noisy
962,16.352941176470587,9.578645292148499,0.5857444962824622,Noisy
149,5.160315374507228,4.217825818742419,0.8173581482207743,Noisy
1703,1.0027777777777778,0.07450969634764691,0.0743032982968224,Stable
353,4.924646781789639,4.543822242812185,0.9226696744250436,Noisy
415,124.5587213342599,279.8854409845878,2.247016009689923,Noisy
1796,2.0180555555555557,0.13831748725214296,0.06853997991847414,Stable
1645,2.0506944444444444,0.21944922140492928,0.10701214995702614,Stable
2023,2.0166666666666666,0.12806357003774743,0.06350259671293261,Stable
1147,2.0180555555555557,0.13319862317014988,0.06600344713180173,Stable
1580,2.017361111111111,0.13065817303496724,0.06476687406896826,Stable
1176,2.5166666666666666,0.8661658181095762,0.3441718482554607,Noisy
1818,2.1597222222222223,0.4710255905378694,0.21809545028119998,Noisy
293,4.75625,1.231801155288852,0.258985788234187,Noisy
1767,2.8243055555555556,0.3825132731535948,0.1354362216231071,Stable
1316,1.0013888888888889,0.052704627669472974,0.05263152832457773,Stable
2173,1.0,0.0,0.0,Stable
883,1.0013898540653232,0.05272293742429648,0.052649761938627776,Stable
831,2.2006944444444443,0.40411306596947816,0.1836297933089456,Noisy
140,3.176190476190476,2.5607274612909015,0.80622603728799,Noisy
2124,1.0222222222222221,0.15209651138719876,0.14879006548747706,Noisy
19,70.93194444444444,71.11778703021307,1.0026200125659064,Noisy
740,1.0,0.0,0.0,Stable
1291,1.0006944444444446,0.026352313834736536,0.02633402631646121,Stable
295,1.0020833333333334,0.04561181649562507,0.0455169894343036,Stable
169,1.0041666666666667,0.08325801553483707,0.08291254659070911,Stable
2042,2.001388888888889,0.0372548481738234,0.018614497352639033,Stable
2219,2.0,0.0,0.0,Stable
580,3.9392592592592592,2.7931958525436604,0.7090662656889698,Noisy
1226,1.0013888888888889,0.03725484817382346,0.03720317709452551,Stable
1357,1.021985815602837,0.1466891280752133,0.1435334285815758,Noisy
142,2.3333333333333335,0.4715682882167784,0.20210069495004787,Noisy
2099,9.414871438498958,3.481455116705612,0.3697825445039397,Noisy
1144,1.0243055555555556,0.2176207588619911,0.2124568764483167,Noisy
1074,1.2854166666666667,0.6872681869591485,0.5346656883960961,Noisy
2005,1.0819444444444444,0.27437534787003315,0.2535946732559998,Noisy
234,1.0680555555555555,0.25467219327770757,0.23844470631983025,Noisy
1979,1.0027777777777778,0.052649660199969604,0.05250381626589767,Stable
2068,1.1,0.43444468240603695,0.3949497112782154,Noisy
1596,1.1597222222222223,0.6110312594800459,0.5268772536833928,Noisy
698,1.0,0.0,0.0,Stable
1431,1.1666666666666667,0.3728074657679406,0.3195492563725205,Noisy
965,1.0013888888888889,0.03725484817382347,0.037203177094525516,Stable
523,13.38932948810382,7.766234779643384,0.5800316428498936,Noisy
1197,70217.49583333333,54052.78057756849,0.7697907755905586,Noisy
1465,565.9340277777778,204.7553782660335,0.3618007898730444,Noisy
1412,9946.502083333333,4926.2204734339275,0.49527164747579505,Noisy
95,1.073611111111111,0.37669904395501724,0.3508710370603007,Noisy
1358,455.68194444444447,30.027348323872015,0.0658954094845267,Stable
650,1.0027777777777778,0.06451233048414391,0.06433362596756734,Stable
283,3.2006944444444443,0.5982365244888446,0.18690835219438842,Noisy
796,4.868103448275862,3.9654264930053857,0.8145731772421192,Noisy
2097,12.505338078291816,20.842565646045017,1.666693496453799,Noisy
734,1.9993055555555554,0.026352313834736508,0.013180733560965812,Stable
1270,2.0,0.0,0.0,Stable
447,1.0020833333333334,0.05890918323448152,0.05878671092006471,Stable
1813,1.0020833333333334,0.045611816495625075,0.04551698943430361,Stable
1688,52.46180555555556,3.0969844897098717,0.059033128137960356,Stable
